Date,Hour,Zone_Name,Feeder_ID,Energy_Consumption_kWh,Grid_Voltage,Power_Cut_Flag
2025-01-01,0,Hinjewadi,MSEDCL_Hin_F1,1393.85,236.78,0
2025-01-01,0,Kothrud,MSEDCL_Kot_F1,724.46,236.23,0
2025-01-01,0,Swargate,MSEDCL_Swa_F1,1190.06,245.03,0
2025-01-01,0,Koregaon Park,MSEDCL_Kor_F1,880.61,243.86,0
2025-01-01,0,Hadapsar,MSEDCL_Had_F1,1122.99,232.41,0
2025-01-01,0,Viman Nagar,MSEDCL_Vim_F1,1225.03,245.31,0
2025-01-01,1,Hinjewadi,MSEDCL_Hin_F1,1222.25,238.16,0
2025-01-01,1,Kothrud,MSEDCL_Kot_F1,960.43,240.5,0
2025-01-01,1,Swargate,MSEDCL_Swa_F1,996.73,240.19,0
2025-01-01,1,Koregaon Park,MSEDCL_Kor_F1,993.59,241.02,0
2025-01-01,1,Hadapsar,MSEDCL_Had_F1,1053.91,241.44,0
2025-01-01,1,Viman Nagar,MSEDCL_Vim_F1,1288.45,241.29,0
2025-01-01,2,Hinjewadi,MSEDCL_Hin_F1,1759.08,250.46,0
2025-01-01,2,Kothrud,MSEDCL_Kot_F1,1017.32,242.94,0
2025-01-01,2,Swargate,MSEDCL_Swa_F1,901.94,243.08,0
2025-01-01,2,Koregaon Park,MSEDCL_Kor_F1,1108.26,236.14,0
2025-01-01,2,Hadapsar,MSEDCL_Had_F1,733.45,240.51,0
2025-01-01,2,Viman Nagar,MSEDCL_Vim_F1,1170.19,241.53,0
2025-01-01,3,Hinjewadi,MSEDCL_Hin_F1,1394.87,234.82,0
2025-01-01,3,Kothrud,MSEDCL_Kot_F1,1009.95,231.95,0
2025-01-01,3,Swargate,MSEDCL_Swa_F1,969.45,240.91,0
2025-01-01,3,Koregaon Park,MSEDCL_Kor_F1,841.01,244.85,0
2025-01-01,3,Hadapsar,MSEDCL_Had_F1,1081.64,239.48,0
2025-01-01,3,Viman Nagar,MSEDCL_Vim_F1,1375.4,235.3,0
2025-01-01,4,Hinjewadi,MSEDCL_Hin_F1,1386.75,238.89,0
2025-01-01,4,Kothrud,MSEDCL_Kot_F1,952.92,242.32,0
2025-01-01,4,Swargate,MSEDCL_Swa_F1,1003.51,235.22,0
2025-01-01,4,Koregaon Park,MSEDCL_Kor_F1,1098.84,234.44,0
2025-01-01,4,Hadapsar,MSEDCL_Had_F1,862.24,236.23,0
2025-01-01,4,Viman Nagar,MSEDCL_Vim_F1,1125.32,232.38,0
2025-01-01,5,Hinjewadi,MSEDCL_Hin_F1,1678.26,237.95,0
2025-01-01,5,Kothrud,MSEDCL_Kot_F1,1239.1,232.59,0
2025-01-01,5,Swargate,MSEDCL_Swa_F1,932.9,235.06,0
2025-01-01,5,Koregaon Park,MSEDCL_Kor_F1,1080.58,239.46,0
2025-01-01,5,Hadapsar,MSEDCL_Had_F1,1182.92,243.09,0
2025-01-01,5,Viman Nagar,MSEDCL_Vim_F1,1451.55,237.54,0
2025-01-01,6,Hinjewadi,MSEDCL_Hin_F1,1392.65,243.05,0
2025-01-01,6,Kothrud,MSEDCL_Kot_F1,1069.39,238.03,0
2025-01-01,6,Swargate,MSEDCL_Swa_F1,844.43,239.57,0
2025-01-01,6,Koregaon Park,MSEDCL_Kor_F1,1101.22,233.56,0
2025-01-01,6,Hadapsar,MSEDCL_Had_F1,1200.82,232.38,0
2025-01-01,6,Viman Nagar,MSEDCL_Vim_F1,1712.62,243.68,0
2025-01-01,7,Hinjewadi,MSEDCL_Hin_F1,878.1,232.97,0
2025-01-01,7,Kothrud,MSEDCL_Kot_F1,992.74,236.18,0
2025-01-01,7,Swargate,MSEDCL_Swa_F1,959.78,236.49,0
2025-01-01,7,Koregaon Park,MSEDCL_Kor_F1,763.93,247.12,0
2025-01-01,7,Hadapsar,MSEDCL_Had_F1,1233.44,231.57,0
2025-01-01,7,Viman Nagar,MSEDCL_Vim_F1,1454.22,239.9,0
2025-01-01,8,Hinjewadi,MSEDCL_Hin_F1,1754.84,237.66,0
2025-01-01,8,Kothrud,MSEDCL_Kot_F1,983.26,230.38,0
2025-01-01,8,Swargate,MSEDCL_Swa_F1,1119.24,233.75,0
2025-01-01,8,Koregaon Park,MSEDCL_Kor_F1,1198.05,246.36,0
2025-01-01,8,Hadapsar,MSEDCL_Had_F1,915.67,234.22,0
2025-01-01,8,Viman Nagar,MSEDCL_Vim_F1,1301.85,235.11,0
2025-01-01,9,Hinjewadi,MSEDCL_Hin_F1,5036.2,238.33,0
2025-01-01,9,Kothrud,MSEDCL_Kot_F1,1013.68,243.51,0
2025-01-01,9,Swargate,MSEDCL_Swa_F1,1007.53,243.47,0
2025-01-01,9,Koregaon Park,MSEDCL_Kor_F1,1043.85,235.38,0
2025-01-01,9,Hadapsar,MSEDCL_Had_F1,958.28,240.17,0
2025-01-01,9,Viman Nagar,MSEDCL_Vim_F1,5019.91,238.3,0
2025-01-01,10,Hinjewadi,MSEDCL_Hin_F1,4703.12,237.08,0
2025-01-01,10,Kothrud,MSEDCL_Kot_F1,869.86,233.54,0
2025-01-01,10,Swargate,MSEDCL_Swa_F1,954.39,238.79,0
2025-01-01,10,Koregaon Park,MSEDCL_Kor_F1,1026.95,239.71,0
2025-01-01,10,Hadapsar,MSEDCL_Had_F1,1161.86,242.05,0
2025-01-01,10,Viman Nagar,MSEDCL_Vim_F1,6131.68,238.5,0
2025-01-01,11,Hinjewadi,MSEDCL_Hin_F1,6112.79,249.65,0
2025-01-01,11,Kothrud,MSEDCL_Kot_F1,935.04,244.1,0
2025-01-01,11,Swargate,MSEDCL_Swa_F1,962.46,236.03,0
2025-01-01,11,Koregaon Park,MSEDCL_Kor_F1,1049.34,238.17,0
2025-01-01,11,Hadapsar,MSEDCL_Had_F1,1002.67,237.65,0
2025-01-01,11,Viman Nagar,MSEDCL_Vim_F1,5655.03,236.91,0
2025-01-01,12,Hinjewadi,MSEDCL_Hin_F1,4771.04,243.39,0
2025-01-01,12,Kothrud,MSEDCL_Kot_F1,827.27,237.37,0
2025-01-01,12,Swargate,MSEDCL_Swa_F1,883.76,241.99,0
2025-01-01,12,Koregaon Park,MSEDCL_Kor_F1,1023.32,242.62,0
2025-01-01,12,Hadapsar,MSEDCL_Had_F1,992.04,240.8,0
2025-01-01,12,Viman Nagar,MSEDCL_Vim_F1,5571.95,239.77,0
2025-01-01,13,Hinjewadi,MSEDCL_Hin_F1,5489.76,237.01,0
2025-01-01,13,Kothrud,MSEDCL_Kot_F1,1043.33,238.17,0
2025-01-01,13,Swargate,MSEDCL_Swa_F1,1077.96,232.12,0
2025-01-01,13,Koregaon Park,MSEDCL_Kor_F1,1006.99,241.88,0
2025-01-01,13,Hadapsar,MSEDCL_Had_F1,933.68,190.0,1
2025-01-01,13,Viman Nagar,MSEDCL_Vim_F1,4388.15,237.28,0
2025-01-01,14,Hinjewadi,MSEDCL_Hin_F1,5998.77,242.75,0
2025-01-01,14,Kothrud,MSEDCL_Kot_F1,1004.61,235.54,0
2025-01-01,14,Swargate,MSEDCL_Swa_F1,1048.36,239.67,0
2025-01-01,14,Koregaon Park,MSEDCL_Kor_F1,978.79,240.4,0
2025-01-01,14,Hadapsar,MSEDCL_Had_F1,1131.74,246.01,0
2025-01-01,14,Viman Nagar,MSEDCL_Vim_F1,4973.09,245.99,0
2025-01-01,15,Hinjewadi,MSEDCL_Hin_F1,5176.49,235.81,0
2025-01-01,15,Kothrud,MSEDCL_Kot_F1,1091.71,246.32,0
2025-01-01,15,Swargate,MSEDCL_Swa_F1,968.21,247.52,0
2025-01-01,15,Koregaon Park,MSEDCL_Kor_F1,991.76,237.9,0
2025-01-01,15,Hadapsar,MSEDCL_Had_F1,1051.08,239.79,0
2025-01-01,15,Viman Nagar,MSEDCL_Vim_F1,5717.57,235.54,0
2025-01-01,16,Hinjewadi,MSEDCL_Hin_F1,5843.37,237.26,0
2025-01-01,16,Kothrud,MSEDCL_Kot_F1,951.53,238.53,0
2025-01-01,16,Swargate,MSEDCL_Swa_F1,1072.24,238.04,0
2025-01-01,16,Koregaon Park,MSEDCL_Kor_F1,894.94,237.55,0
2025-01-01,16,Hadapsar,MSEDCL_Had_F1,1145.74,236.8,0
2025-01-01,16,Viman Nagar,MSEDCL_Vim_F1,4989.08,241.25,0
2025-01-01,17,Hinjewadi,MSEDCL_Hin_F1,4927.11,232.88,0
2025-01-01,17,Kothrud,MSEDCL_Kot_F1,832.59,237.32,0
2025-01-01,17,Swargate,MSEDCL_Swa_F1,1029.78,233.31,0
2025-01-01,17,Koregaon Park,MSEDCL_Kor_F1,1057.54,248.4,0
2025-01-01,17,Hadapsar,MSEDCL_Had_F1,912.39,249.49,0
2025-01-01,17,Viman Nagar,MSEDCL_Vim_F1,5036.57,240.16,0
2025-01-01,18,Hinjewadi,MSEDCL_Hin_F1,3904.14,236.72,0
2025-01-01,18,Kothrud,MSEDCL_Kot_F1,2525.43,238.66,0
2025-01-01,18,Swargate,MSEDCL_Swa_F1,2591.23,239.68,0
2025-01-01,18,Koregaon Park,MSEDCL_Kor_F1,2784.58,242.84,0
2025-01-01,18,Hadapsar,MSEDCL_Had_F1,2955.31,236.28,0
2025-01-01,18,Viman Nagar,MSEDCL_Vim_F1,4070.2,237.16,0
2025-01-01,19,Hinjewadi,MSEDCL_Hin_F1,5341.2,244.69,0
2025-01-01,19,Kothrud,MSEDCL_Kot_F1,2631.88,229.86,0
2025-01-01,19,Swargate,MSEDCL_Swa_F1,3184.52,230.14,0
2025-01-01,19,Koregaon Park,MSEDCL_Kor_F1,2927.49,233.73,0
2025-01-01,19,Hadapsar,MSEDCL_Had_F1,3326.73,231.94,0
2025-01-01,19,Viman Nagar,MSEDCL_Vim_F1,4633.61,240.37,0
2025-01-01,20,Hinjewadi,MSEDCL_Hin_F1,1432.96,237.48,0
2025-01-01,20,Kothrud,MSEDCL_Kot_F1,3176.66,242.69,0
2025-01-01,20,Swargate,MSEDCL_Swa_F1,2522.75,239.53,0
2025-01-01,20,Koregaon Park,MSEDCL_Kor_F1,2798.68,234.14,0
2025-01-01,20,Hadapsar,MSEDCL_Had_F1,2819.0,230.61,0
2025-01-01,20,Viman Nagar,MSEDCL_Vim_F1,1258.47,237.1,0
2025-01-01,21,Hinjewadi,MSEDCL_Hin_F1,1471.95,242.18,0
2025-01-01,21,Kothrud,MSEDCL_Kot_F1,3353.26,246.49,0
2025-01-01,21,Swargate,MSEDCL_Swa_F1,2854.55,236.28,0
2025-01-01,21,Koregaon Park,MSEDCL_Kor_F1,3316.97,242.96,0
2025-01-01,21,Hadapsar,MSEDCL_Had_F1,2824.32,238.62,0
2025-01-01,21,Viman Nagar,MSEDCL_Vim_F1,1373.61,236.12,0
2025-01-01,22,Hinjewadi,MSEDCL_Hin_F1,1552.16,240.93,0
2025-01-01,22,Kothrud,MSEDCL_Kot_F1,3464.12,242.78,0
2025-01-01,22,Swargate,MSEDCL_Swa_F1,3170.99,240.11,0
2025-01-01,22,Koregaon Park,MSEDCL_Kor_F1,2981.66,239.62,0
2025-01-01,22,Hadapsar,MSEDCL_Had_F1,3203.22,240.17,0
2025-01-01,22,Viman Nagar,MSEDCL_Vim_F1,1608.04,251.55,0
2025-01-01,23,Hinjewadi,MSEDCL_Hin_F1,1227.08,239.66,0
2025-01-01,23,Kothrud,MSEDCL_Kot_F1,3355.78,238.56,0
2025-01-01,23,Swargate,MSEDCL_Swa_F1,2850.35,242.55,0
2025-01-01,23,Koregaon Park,MSEDCL_Kor_F1,2814.26,246.5,0
2025-01-01,23,Hadapsar,MSEDCL_Had_F1,3402.28,244.11,0
2025-01-01,23,Viman Nagar,MSEDCL_Vim_F1,1615.21,239.44,0
2025-01-02,0,Hinjewadi,MSEDCL_Hin_F1,1375.24,239.74,0
2025-01-02,0,Kothrud,MSEDCL_Kot_F1,967.69,231.17,0
2025-01-02,0,Swargate,MSEDCL_Swa_F1,1194.24,232.59,0
2025-01-02,0,Koregaon Park,MSEDCL_Kor_F1,1064.01,245.21,0
2025-01-02,0,Hadapsar,MSEDCL_Had_F1,936.79,236.22,0
2025-01-02,0,Viman Nagar,MSEDCL_Vim_F1,1537.6,240.53,0
2025-01-02,1,Hinjewadi,MSEDCL_Hin_F1,1399.53,240.45,0
2025-01-02,1,Kothrud,MSEDCL_Kot_F1,976.21,237.85,0
2025-01-02,1,Swargate,MSEDCL_Swa_F1,1030.95,242.54,0
2025-01-02,1,Koregaon Park,MSEDCL_Kor_F1,906.62,233.77,0
2025-01-02,1,Hadapsar,MSEDCL_Had_F1,1068.96,247.87,0
2025-01-02,1,Viman Nagar,MSEDCL_Vim_F1,1354.94,238.91,0
2025-01-02,2,Hinjewadi,MSEDCL_Hin_F1,1595.14,243.65,0
2025-01-02,2,Kothrud,MSEDCL_Kot_F1,1045.26,243.66,0
2025-01-02,2,Swargate,MSEDCL_Swa_F1,870.75,240.19,0
2025-01-02,2,Koregaon Park,MSEDCL_Kor_F1,986.9,236.72,0
2025-01-02,2,Hadapsar,MSEDCL_Had_F1,1033.24,240.63,0
2025-01-02,2,Viman Nagar,MSEDCL_Vim_F1,1600.66,241.8,0
2025-01-02,3,Hinjewadi,MSEDCL_Hin_F1,1454.26,237.47,0
2025-01-02,3,Kothrud,MSEDCL_Kot_F1,1045.96,238.32,0
2025-01-02,3,Swargate,MSEDCL_Swa_F1,1016.12,237.4,0
2025-01-02,3,Koregaon Park,MSEDCL_Kor_F1,997.4,238.45,0
2025-01-02,3,Hadapsar,MSEDCL_Had_F1,941.59,233.34,0
2025-01-02,3,Viman Nagar,MSEDCL_Vim_F1,1623.09,242.07,0
2025-01-02,4,Hinjewadi,MSEDCL_Hin_F1,1368.71,237.97,0
2025-01-02,4,Kothrud,MSEDCL_Kot_F1,980.67,236.52,0
2025-01-02,4,Swargate,MSEDCL_Swa_F1,898.37,236.59,0
2025-01-02,4,Koregaon Park,MSEDCL_Kor_F1,1043.93,238.64,0
2025-01-02,4,Hadapsar,MSEDCL_Had_F1,963.9,242.25,0
2025-01-02,4,Viman Nagar,MSEDCL_Vim_F1,1726.49,235.93,0
2025-01-02,5,Hinjewadi,MSEDCL_Hin_F1,1198.69,246.62,0
2025-01-02,5,Kothrud,MSEDCL_Kot_F1,1092.83,246.56,0
2025-01-02,5,Swargate,MSEDCL_Swa_F1,1033.8,243.01,0
2025-01-02,5,Koregaon Park,MSEDCL_Kor_F1,1048.12,243.4,0
2025-01-02,5,Hadapsar,MSEDCL_Had_F1,1103.66,233.39,0
2025-01-02,5,Viman Nagar,MSEDCL_Vim_F1,1340.55,241.28,0
2025-01-02,6,Hinjewadi,MSEDCL_Hin_F1,1752.55,244.95,0
2025-01-02,6,Kothrud,MSEDCL_Kot_F1,930.84,237.41,0
