Date,Hour,Zone_Name,Junction_ID,Vehicle_Volume,Avg_Speed_Kmph,Congestion_Index
2025-01-01,0,Hinjewadi,HIN_J01,630,42,42
2025-01-01,0,Kothrud,KOT_J01,585,52,39
2025-01-01,0,Swargate,SWA_J01,435,31,29
2025-01-01,0,Koregaon Park,KOR_J01,630,53,42
2025-01-01,0,Hadapsar,HAD_J01,630,50,42
2025-01-01,0,Viman Nagar,VIM_J01,585,36,39
2025-01-01,1,Hinjewadi,HIN_J01,510,31,34
2025-01-01,1,Kothrud,KOT_J01,450,33,30
2025-01-01,1,Swargate,SWA_J01,525,52,35
2025-01-01,1,Koregaon Park,KOR_J01,270,45,18
2025-01-01,1,Hadapsar,HAD_J01,300,58,20
2025-01-01,1,Viman Nagar,VIM_J01,390,31,26
2025-01-01,2,Hinjewadi,HIN_J01,465,43,31
2025-01-01,2,Kothrud,KOT_J01,600,52,40
2025-01-01,2,Swargate,SWA_J01,285,39,19
2025-01-01,2,Koregaon Park,KOR_J01,150,53,10
2025-01-01,2,Hadapsar,HAD_J01,315,57,21
2025-01-01,2,Viman Nagar,VIM_J01,540,45,36
2025-01-01,3,Hinjewadi,HIN_J01,300,41,20
2025-01-01,3,Kothrud,KOT_J01,585,33,39
2025-01-01,3,Swargate,SWA_J01,435,48,29
2025-01-01,3,Koregaon Park,KOR_J01,360,30,24
2025-01-01,3,Hadapsar,HAD_J01,210,40,14
2025-01-01,3,Viman Nagar,VIM_J01,585,37,39
2025-01-01,4,Hinjewadi,HIN_J01,285,46,19
2025-01-01,4,Kothrud,KOT_J01,540,34,36
2025-01-01,4,Swargate,SWA_J01,360,33,24
2025-01-01,4,Koregaon Park,KOR_J01,345,52,23
2025-01-01,4,Hadapsar,HAD_J01,345,46,23
2025-01-01,4,Viman Nagar,VIM_J01,570,44,38
2025-01-01,5,Hinjewadi,HIN_J01,330,34,22
2025-01-01,5,Kothrud,KOT_J01,390,40,26
2025-01-01,5,Swargate,SWA_J01,450,42,30
2025-01-01,5,Koregaon Park,KOR_J01,300,50,20
2025-01-01,5,Hadapsar,HAD_J01,390,57,26
2025-01-01,5,Viman Nagar,VIM_J01,240,39,16
2025-01-01,6,Hinjewadi,HIN_J01,300,47,20
2025-01-01,6,Kothrud,KOT_J01,225,35,15
2025-01-01,6,Swargate,SWA_J01,450,53,30
2025-01-01,6,Koregaon Park,KOR_J01,345,46,23
2025-01-01,6,Hadapsar,HAD_J01,660,30,44
2025-01-01,6,Viman Nagar,VIM_J01,390,55,26
2025-01-01,7,Hinjewadi,HIN_J01,195,56,13
2025-01-01,7,Kothrud,KOT_J01,165,37,11
2025-01-01,7,Swargate,SWA_J01,180,57,12
2025-01-01,7,Koregaon Park,KOR_J01,510,52,34
2025-01-01,7,Hadapsar,HAD_J01,480,54,32
2025-01-01,7,Viman Nagar,VIM_J01,150,56,10
2025-01-01,8,Hinjewadi,HIN_J01,720,43,48
2025-01-01,8,Kothrud,KOT_J01,720,40,48
2025-01-01,8,Swargate,SWA_J01,270,30,18
2025-01-01,8,Koregaon Park,KOR_J01,375,47,25
2025-01-01,8,Hadapsar,HAD_J01,585,51,39
2025-01-01,8,Viman Nagar,VIM_J01,660,59,44
2025-01-01,9,Hinjewadi,HIN_J01,1485,5,99
2025-01-01,9,Kothrud,KOT_J01,375,38,25
2025-01-01,9,Swargate,SWA_J01,555,33,37
2025-01-01,9,Koregaon Park,KOR_J01,420,50,28
2025-01-01,9,Hadapsar,HAD_J01,1290,5,86
2025-01-01,9,Viman Nagar,VIM_J01,150,55,10
2025-01-01,10,Hinjewadi,HIN_J01,1335,13,89
2025-01-01,10,Kothrud,KOT_J01,405,50,27
2025-01-01,10,Swargate,SWA_J01,255,49,17
2025-01-01,10,Koregaon Park,KOR_J01,630,54,42
2025-01-01,10,Hadapsar,HAD_J01,1275,6,85
2025-01-01,10,Viman Nagar,VIM_J01,540,54,36
2025-01-01,11,Hinjewadi,HIN_J01,1410,8,94
2025-01-01,11,Kothrud,KOT_J01,375,37,25
2025-01-01,11,Swargate,SWA_J01,555,55,37
2025-01-01,11,Koregaon Park,KOR_J01,660,52,44
2025-01-01,11,Hadapsar,HAD_J01,1290,9,86
2025-01-01,11,Viman Nagar,VIM_J01,615,55,41
2025-01-01,12,Hinjewadi,HIN_J01,315,40,21
2025-01-01,12,Kothrud,KOT_J01,420,44,28
2025-01-01,12,Swargate,SWA_J01,165,42,11
2025-01-01,12,Koregaon Park,KOR_J01,480,46,32
2025-01-01,12,Hadapsar,HAD_J01,240,33,16
2025-01-01,12,Viman Nagar,VIM_J01,690,53,46
2025-01-01,13,Hinjewadi,HIN_J01,480,47,32
2025-01-01,13,Kothrud,KOT_J01,375,50,25
2025-01-01,13,Swargate,SWA_J01,540,49,36
2025-01-01,13,Koregaon Park,KOR_J01,465,31,31
2025-01-01,13,Hadapsar,HAD_J01,360,57,24
2025-01-01,13,Viman Nagar,VIM_J01,285,46,19
2025-01-01,14,Hinjewadi,HIN_J01,525,37,35
2025-01-01,14,Kothrud,KOT_J01,585,34,39
2025-01-01,14,Swargate,SWA_J01,165,38,11
2025-01-01,14,Koregaon Park,KOR_J01,375,48,25
2025-01-01,14,Hadapsar,HAD_J01,660,57,44
2025-01-01,14,Viman Nagar,VIM_J01,420,45,28
2025-01-01,15,Hinjewadi,HIN_J01,450,49,30
2025-01-01,15,Kothrud,KOT_J01,405,47,27
2025-01-01,15,Swargate,SWA_J01,300,56,20
2025-01-01,15,Koregaon Park,KOR_J01,270,58,18
2025-01-01,15,Hadapsar,HAD_J01,495,56,33
2025-01-01,15,Viman Nagar,VIM_J01,630,48,42
2025-01-01,16,Hinjewadi,HIN_J01,735,47,49
2025-01-01,16,Kothrud,KOT_J01,285,38,19
2025-01-01,16,Swargate,SWA_J01,705,51,47
2025-01-01,16,Koregaon Park,KOR_J01,210,49,14
2025-01-01,16,Hadapsar,HAD_J01,675,44,45
2025-01-01,16,Viman Nagar,VIM_J01,435,56,29
2025-01-01,17,Hinjewadi,HIN_J01,645,54,43
2025-01-01,17,Kothrud,KOT_J01,720,32,48
2025-01-01,17,Swargate,SWA_J01,645,58,43
2025-01-01,17,Koregaon Park,KOR_J01,360,38,24
2025-01-01,17,Hadapsar,HAD_J01,510,55,34
2025-01-01,17,Viman Nagar,VIM_J01,525,54,35
2025-01-01,18,Hinjewadi,HIN_J01,1410,14,94
2025-01-01,18,Kothrud,KOT_J01,570,41,38
2025-01-01,18,Swargate,SWA_J01,675,54,45
2025-01-01,18,Koregaon Park,KOR_J01,420,57,28
2025-01-01,18,Hadapsar,HAD_J01,1440,8,96
2025-01-01,18,Viman Nagar,VIM_J01,150,49,10
2025-01-01,19,Hinjewadi,HIN_J01,1440,11,96
2025-01-01,19,Kothrud,KOT_J01,660,50,44
2025-01-01,19,Swargate,SWA_J01,420,49,28
2025-01-01,19,Koregaon Park,KOR_J01,345,34,23
2025-01-01,19,Hadapsar,HAD_J01,1350,13,90
2025-01-01,19,Viman Nagar,VIM_J01,720,47,48
2025-01-01,20,Hinjewadi,HIN_J01,1350,11,90
2025-01-01,20,Kothrud,KOT_J01,720,45,48
